Date,EEM,EFA,GLD,HYG,QQQ,SPY,TLT,VNQ
2012-01-03,28.759424209594727,33.38433074951172,155.9199981689453,41.73711013793945,50.37599563598633,99.58342742919922,81.43528747558594,33.624507904052734
2012-01-04,28.59760856628418,33.1874885559082,156.7100067138672,41.66733169555664,50.5884895324707,99.7396011352539,80.46700286865234,33.04964828491211
2012-01-05,28.472557067871094,32.69538116455078,157.77999877929688,41.485923767089844,51.00457763671875,100.00518035888672,80.32386779785156,33.360084533691406
2012-01-06,28.112152099609375,32.24921798706055,157.1999969482422,41.35565948486328,51.181671142578125,99.74742889404297,80.95800018310547,33.25084686279297
2012-01-09,28.406368255615234,32.37387466430664,156.5,41.41148376464844,51.013458251953125,99.98957824707031,80.81475067138672,33.13587188720703
2012-01-10,29.02420997619629,32.8659782409668,158.63999938964844,41.55568313598633,51.38528823852539,100.85655212402344,80.67838287353516,33.503807067871094
2012-01-11,29.046283721923828,32.7609977722168,159.6699981689453,41.51382064819336,51.49153518676758,100.91120910644531,81.72850799560547,33.739498138427734
2012-01-12,29.163970947265625,32.89877700805664,160.3800048828125,41.458011627197266,51.6951789855957,101.15335083007812,81.61251068115234,33.492305755615234
2012-01-13,28.899173736572266,32.544464111328125,159.25999450683594,41.41148376464844,51.50923538208008,100.63003540039062,82.42398834228516,33.5670280456543
2012-01-17,29.450828552246094,32.931602478027344,160.5,41.49518966674805,51.978477478027344,101.02057647705078,82.80582427978516,33.84297180175781
2012-01-18,30.193710327148438,33.482749938964844,161.60000610351562,41.61150360107422,52.66904067993164,102.13744354248047,81.80345916748047,34.07867431640625
2012-01-19,30.458499908447266,33.8961181640625,161.22000122070312,41.6719856262207,52.996604919433594,102.6763916015625,80.67838287353516,34.210899353027344
2012-01-20,30.43644905090332,34.073280334472656,162.07000732421875,41.6719856262207,52.916934967041016,103.05909729003906,79.76473999023438,34.42360305786133
2012-01-23,30.730653762817383,34.20450210571289,163.16000366210938,41.8161735534668,52.93465042114258,102.79354095458984,79.2601318359375,34.5903205871582
2012-01-24,30.774791717529297,34.01422119140625,162.00999450683594,41.92316818237305,52.83724594116211,102.6763916015625,79.40331268310547,34.85475540161133
2012-01-25,31.120494842529297,34.36854553222656,166.4199981689453,42.29069137573242,53.50127410888672,103.53551483154297,79.21244812011719,35.303157806396484
2012-01-26,30.995441436767578,34.381656646728516,167.27000427246094,42.39303207397461,53.315345764160156,103.00438690185547,80.26244354248047,35.550357818603516
2012-01-27,31.157264709472656,34.44070816040039,168.97000122070312,42.23951721191406,53.474708557128906,102.95758056640625,80.51476287841797,35.561866760253906
2012-01-30,30.70859146118164,34.03390884399414,168.02999877929688,42.1046028137207,53.51896667480469,102.60606384277344,81.46249389648438,35.29741668701172
2012-01-31,30.973377227783203,34.21106719970703,169.30999755859375,42.21159744262695,53.58979415893555,102.5670394897461,82.40350341796875,35.469879150390625
2012-02-01,31.657432556152344,34.74911117553711,169.55999755859375,42.289730072021484,54.02360534667969,103.4652328491211,81.4596176147461,35.820556640625
2012-02-02,31.74569320678711,34.82126998901367,171.0500030517578,42.31778335571289,54.19183349609375,103.6292495727539,81.4254379272461,35.901023864746094
2012-02-03,32.27528381347656,35.36586380004883,167.63999938964844,42.439430236816406,54.93551254272461,105.08200073242188,79.67566680908203,36.40118408203125
2012-02-06,32.00313186645508,35.19526290893555,167.17999267578125,42.44878005981445,54.89125442504883,105.01170349121094,80.46852111816406,36.286197662353516
2012-02-07,32.069339752197266,35.41179656982422,169.6999969482422,42.53298568725586,55.00633239746094,105.27722930908203,79.4705810546875,36.19422149658203
2012-02-08,32.297340393066406,35.536468505859375,168.5,42.57042694091797,55.29850387573242,105.58969116210938,79.53206634521484,36.257469177246094
2012-02-09,32.282630920410156,35.628318786621094,168.02000427246094,42.58913040161133,55.696903228759766,105.72246551513672,78.93751525878906,35.99302673339844
2012-02-10,31.569169998168945,34.95249557495117,167.13999938964844,42.21953582763672,55.30734634399414,104.94142150878906,79.96277618408203,35.659584045410156
2012-02-13,32.08403396606445,35.352745056152344,167.50999450683594,42.3411979675293,55.82087326049805,105.72246551513672,80.06524658203125,36.021759033203125
2012-02-14,31.81924819946289,35.09029006958008,167.1199951171875,42.3411979675293,55.962501525878906,105.58969116210938,80.48907470703125,35.653846740722656
2012-02-15,31.907508850097656,35.12966537475586,168.11000061035156,42.205543518066406,55.57296371459961,105.09761047363281,80.34552001953125,35.441123962402344
2012-02-16,32.25321960449219,35.61519241333008,168.0,42.38328170776367,56.33436965942383,106.26136779785156,79.70304870605469,35.8148078918457
2012-02-17,32.31205749511719,35.772674560546875,167.35000610351562,42.36923599243164,56.15728759765625,106.54255676269531,79.6824951171875,35.84354019165039
2012-02-21,32.17965316772461,35.77922821044922,171.02000427246094,42.5283088684082,56.31664276123047,106.58939361572266,78.80078125,35.28592300415039
2012-02-22,32.238502502441406,35.67425537109375,172.94000244140625,42.66395950317383,56.05989074707031,106.24575805664062,79.79181671142578,34.98698425292969
2012-02-23,32.17965316772461,35.969505310058594,173.02000427246094,42.818355560302734,56.43174362182617,106.71440124511719,79.79181671142578,35.42387771606445
2012-02-24,32.5033073425293,36.18604278564453,172.22999572753906,42.9493408203125,56.62652587890625,106.94868469238281,80.31134033203125,35.469879150390625
2012-02-27,32.17965316772461,36.002323150634766,171.6999969482422,42.95869064331055,56.706214904785156,107.12834167480469,81.02220153808594,35.41239929199219
2012-02-28,32.62833786010742,36.33695602416992,173.49000549316406,43.042884826660156,57.28166198730469,107.44074249267578,80.75560760498047,35.20543670654297
2012-02-29,32.60627746582031,35.864532470703125,164.2899932861328,43.09904098510742,57.024932861328125,107.01899719238281,80.26346588134766,35.061710357666016
2012-03-01,32.91520309448242,36.27133560180664,166.61000061035156,43.172908782958984,57.4764289855957,107.57354736328125,79.50785064697266,35.2744140625
2012-03-02,32.83428192138672,35.93669891357422,166.33999633789062,42.99409484863281,57.432193756103516,107.24549102783203,80.25457000732422,35.22268295288086
2012-03-05,32.26792907714844,35.74643325805664,165.64999389648438,42.754112243652344,56.83899688720703,106.80809020996094,79.61747741699219,35.57909393310547
2012-03-06,31.18670082092285,34.604759216308594,162.6999969482422,42.184757232666016,56.28123474121094,105.24604034423828,80.58338928222656,35.107696533203125
2012-03-07,31.56180763244629,35.0312385559082,163.6300048828125,42.3023681640625,56.71506118774414,105.98018646240234,80.09015655517578,35.29741668701172
2012-03-08,32.223793029785156,35.78579330444336,165.27999877929688,42.63177490234375,57.32593536376953,107.03462219238281,79.28864288330078,35.11344528198242
2012-03-09,32.20907974243164,35.66768264770508,166.3800048828125,42.67881774902344,57.56497573852539,107.44854736328125,79.44619750976562,35.28592300415039
2012-03-12,31.856021881103516,35.57582092285156,165.07000732421875,42.67881774902344,57.5915412902832,107.45639038085938,79.43252563476562,35.54461669921875
2012-03-13,32.72395706176758,36.153236389160156,162.3000030517578,42.989383697509766,58.66282653808594,109.39337921142578,78.03500366210938,36.26320266723633
2012-03-14,32.20907974243164,35.83171844482422,159.57000732421875,42.88116455078125,58.86642837524414,109.27621459960938,76.06886291503906,36.16547775268555
2012-03-15,32.46651840209961,36.17292785644531,161.0800018310547,42.73529052734375,59.03464126586914,109.90888977050781,76.1853256225586,36.11375045776367
2012-03-16,32.429744720458984,36.4222526550293,161.3000030517578,42.58001708984375,58.99296188354492,110.06104278564453,76.3360595703125,36.32069396972656
2012-03-19,32.3046989440918,36.61251449584961,161.58999633789062,42.7400016784668,59.40977478027344,110.49250030517578,75.42489624023438,36.57363510131836
2012-03-20,31.74569320678711,36.17947006225586,160.1300048828125,42.70705795288086,59.51621627807617,110.17086029052734,75.72634887695312,36.52189636230469
2012-03-21,31.804536819458008,35.943267822265625,160.2100067138672,42.57059097290039,59.525081634521484,109.99049377441406,76.58270263671875,36.47016525268555
2012-03-22,31.319089889526367,35.69392395019531,159.57000732421875,42.67414093017578,59.40092086791992,109.19813537597656,76.82931518554688,35.97002410888672
2012-03-23,31.554447174072266,35.943267822265625,161.52999877929688,42.5847053527832,59.36542892456055,109.55116271972656,77.55545806884766,36.19422149658203
2012-03-26,32.10611343383789,36.40256118774414,164.39999389648438,42.84352493286133,60.403053283691406,111.08873748779297,77.1581039428711,36.618412017822266
2012-03-27,31.936939239501953,36.17292785644531,163.24000549316406,42.91881561279297,60.49174118041992,110.7435302734375,77.71298217773438,36.62420654296875
2012-03-28,31.399986267089844,35.92357635498047,161.50999450683594,42.777645111083984,60.252296447753906,110.19440460205078,77.60338592529297,36.566261291503906
2012-03-29,31.363218307495117,35.69392395019531,161.27999877929688,42.772953033447266,60.02170944213867,110.00614929199219,78.18572998046875,36.58363723754883
2012-03-30,31.591228485107422,36.015445709228516,162.1199951171875,42.68824768066406,59.90642547607422,110.46116638183594,76.86356353759766,36.88498306274414
2012-04-02,32.02519989013672,36.43536376953125,162.94000244140625,42.761600494384766,60.527217864990234,111.26911926269531,77.28935241699219,37.14574432373047
2012-04-03,31.841318130493164,35.79891586303711,159.88999938964844,42.72373962402344,60.509490966796875,110.81413269042969,75.95004272460938,37.00087356567383
2012-04-04,31.267589569091797,34.99842834472656,157.2100067138672,42.56751251220703,59.684715270996094,109.71587371826172,76.99402618408203,36.59523391723633
2012-04-05,31.436771392822266,34.788475036621094,158.30999755859375,42.46336364746094,60.05717849731445,109.66097259521484,77.55034637451172,36.45615005493164
2012-04-09,30.973377227783203,34.63755798339844,159.3699951171875,42.24561309814453,59.60488510131836,108.42936706542969,79.36356353759766,36.06788635253906
2012-04-10,30.37024688720703,33.8961181640625,161.10000610351562,42.03731155395508,58.64708709716797,106.609375,80.26341247558594,35.29136657714844
2012-04-11,30.70122718811035,34.36854553222656,161.07000732421875,42.292964935302734,58.93086624145508,107.4722900390625,79.30179595947266,35.74337387084961
2012-04-12,31.488256454467773,34.99842834472656,162.6999969482422,42.67168426513672,59.60488510131836,108.87652587890625,78.9721450805664,36.23594284057617
2012-04-13,31.010162353515625,34.32917022705078,160.85000610351562,42.53437423706055,58.700321197509766,107.58211517333984,80.24961853027344,36.08527755737305
2012-04-16,30.855695724487305,34.57849884033203,160.4600067138672,42.60064697265625,58.0440559387207,107.5114974975586,80.13284301757812,36.577850341796875
