Date,0
2019-01-03,98729.87989932003
2019-01-04,100604.80246181914
2019-01-07,101311.67463929893
2019-01-08,101732.86354859619
2019-01-09,102333.93917285865
2019-01-10,102263.34178878544
2019-01-11,102213.57959718176
2019-01-14,101793.76795151301
2019-01-15,102677.00885580393
2019-01-16,102833.69501802168
2019-01-17,103247.10913545353
2019-01-18,103539.11944210491
2019-01-22,102666.53607018982
2019-01-23,102709.9289668094
2019-01-24,102986.83296427241
2019-01-25,104060.32202007029
2019-01-28,103533.96441965032
2019-01-29,103371.22466875467
2019-01-30,104870.3925837333
2019-01-31,105739.48514071024
2019-02-01,105448.58251986309
2019-02-04,105894.73225718758
2019-02-05,106474.00890066821
2019-02-06,106096.73178332076
2019-02-07,105513.08021092947
2019-02-08,105785.9006015794
2019-02-11,105552.24868477642
2019-02-12,106448.10561405048
2019-02-13,106360.48224042704
2019-02-14,106618.09235142276
2019-02-15,107224.97963414674
2019-02-19,107894.2546269661
2019-02-20,107838.21725883696
2019-02-21,107132.71946775634
2019-02-22,107742.52536374071
2019-02-25,107854.81258552388
2019-02-26,107995.3176945761
2019-02-27,107600.19316423307
2019-02-28,107238.78524276798
2019-03-01,106965.02448797632
2019-03-04,106886.0545477575
2019-03-05,106956.04716683173
2019-03-06,106610.37425883894
2019-03-07,105986.00521186095
2019-03-08,106300.44719926688
2019-03-11,107229.38354620223
2019-03-12,107810.67150764794
2019-03-13,108479.27555683264
2019-03-14,107916.3221500459
2019-03-15,108622.2044323329
2019-03-18,108804.00778177286
2019-03-19,109025.25970504874
2019-03-20,109478.59846630678
2019-03-21,110230.48897590859
2019-03-22,109162.25531262225
2019-03-25,109354.84463690165
2019-03-26,109517.01269693198
2019-03-27,109056.3520867394
2019-03-28,108765.57189550826
2019-03-29,109230.48754173006
2019-04-01,109729.29420698127
2019-04-02,110049.71816785117
2019-04-03,110182.23149322526
2019-04-04,110341.4744377665
2019-04-05,110634.19043217697
2019-04-08,110874.59041868617
2019-04-09,110843.39812063825
2019-04-10,111285.26834642711
2019-04-11,110660.75717730689
2019-04-12,110871.94285164448
2019-04-15,110822.1040706629
2019-04-16,110592.45675503444
2019-04-17,110621.27870454923
2019-04-18,110795.82920147275
2019-04-22,110878.35994145856
2019-04-23,111550.25660264646
2019-04-24,111557.99396688647
2019-04-25,111735.07951676573
2019-04-26,112147.76306782544
2019-04-29,112032.66024109336
2019-04-30,111875.83984331769
2019-05-01,111384.0886922294
2019-05-02,110971.5549463523
2019-05-03,112089.41881521497
2019-05-06,111823.07497348488
2019-05-07,110842.80960645925
2019-05-08,110576.30700426911
2019-05-09,110413.55248919986
2019-05-10,110625.93278743606
2019-05-13,109089.062344449
2019-05-14,109636.96870491527
2019-05-15,110387.15904785122
2019-05-16,110708.8226297469
2019-05-17,109917.44747670095
2019-05-20,109052.81734948696
2019-05-21,109572.49407669243
2019-05-22,109351.2730493184
2019-05-23,108850.4623128595
2019-05-24,108916.43116958949
2019-05-28,108513.7210883991
2019-05-29,108078.46530543242
2019-05-30,108633.68189288629
2019-05-31,108294.30037582654
2019-06-03,107912.28731611847
2019-06-04,109410.89436542352
2019-06-05,109929.2098762996
2019-06-06,110544.30893890036
2019-06-07,111853.77262322007
2019-06-10,111988.42051318215
2019-06-11,112008.91169520596
2019-06-12,111916.67714520282
2019-06-13,112515.67865341395
2019-06-14,112323.38602109159
2019-06-17,112581.0266754467
2019-06-18,113670.65489192936
2019-06-19,114130.61350762432
2019-06-20,115702.58907190249
2019-06-21,115729.19880975294
2019-06-24,116342.32282184987
2019-06-25,115471.52067176178
2019-06-26,115243.19071776667
2019-06-27,115530.38444919094
2019-06-28,115787.72068767149
2019-07-01,115819.55170463069
2019-07-02,116939.61590868696
2019-07-03,117591.99617371734
2019-07-05,116895.75631673103
2019-07-08,116234.24438182132
2019-07-09,116607.09899219591
2019-07-10,117695.06483966931
2019-07-11,117237.58086935394
2019-07-12,117843.58031385149
2019-07-15,118059.61181185111
2019-07-16,117397.4272048912
2019-07-17,117775.94754702217
2019-07-18,118444.91997217773
2019-07-19,117400.20074925372
2019-07-22,117832.62606652828
2019-07-23,118006.13765011614
2019-07-24,118665.04568076991
2019-07-25,117805.9267628765
2019-07-26,118504.04210622291
2019-07-29,118565.65826180852
2019-07-30,118474.98441113507
2019-07-31,117198.98668895668
2019-08-01,117922.76096687219
2019-08-02,117052.86184228657
2019-08-05,115537.44643688567
2019-08-06,116850.10385178095
2019-08-07,117682.99877757029
2019-08-08,119297.27591338716
2019-08-09,118570.43023680364
2019-08-12,118386.88273919595
2019-08-13,119450.43091199611
2019-08-14,117949.2742413017
2019-08-15,118336.9835281598
2019-08-16,119048.34214529318
2019-08-19,119425.09439702472
2019-08-20,119327.89447436096
2019-08-21,119720.82742628262
2019-08-22,119399.43095309201
2019-08-23,118339.30780171548
2019-08-26,119229.26706524866
2019-08-27,119589.10542820932
2019-08-28,119813.44976904188
2019-08-29,120467.24124269318
2019-08-30,120247.81942975738
2019-09-03,120226.13291784882
2019-09-04,121397.3598526894
2019-09-05,121386.29641923818
2019-09-06,121104.29017195378
2019-09-09,120675.50743175925
2019-09-10,120008.56154587197
2019-09-11,120806.14566832094
2019-09-12,121081.34016556879
2019-09-13,120332.05698412252
2019-09-16,120538.66692805744
2019-09-17,120953.76396376267
2019-09-18,120746.62385359559
2019-09-19,121011.0834959047
2019-09-20,121035.99058093026
2019-09-23,121267.22373760943
2019-09-24,120822.49938446475
2019-09-25,120574.146026458
2019-09-26,120419.22003560053
2019-09-27,119556.22195632246
2019-09-30,119517.99795534245
2019-10-01,119132.43064904601
2019-10-02,118437.90345913211
2019-10-03,119247.77333063605
2019-10-04,120513.87571738168
2019-10-07,120050.56514165238
2019-10-08,118660.91826216258
2019-10-09,119614.68924444765
2019-10-10,120322.43382958729
2019-10-11,121625.98227160353
2019-10-14,121488.68876019758
2019-10-15,122577.92511342793
2019-10-16,122509.87218579413
2019-10-17,122836.61752185615
2019-10-18,122313.61644677114
2019-10-21,123042.22680881472
2019-10-22,122663.10888844056
2019-10-23,122987.82103743491
2019-10-24,123390.8356194645
2019-10-25,123909.61361079
